                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.73111,                0.45719,                0.88599,                0.95658,                0.91275,                0.95667,                0.72206,                0.91183,                0.51471,                0.86184,             0.00023519,             0.00023519,             0.00023519
                     65,                0.73624,                0.46056,                 0.8841,                0.94602,                0.92563,                0.96147,                0.72589,                0.89085,                0.50475,                 0.8593,               0.000229,               0.000229,               0.000229
                     66,                0.73105,                0.45922,                0.87964,                0.94336,                0.91519,                0.95349,                0.72201,                0.89835,                0.51858,                0.86097,             0.00022281,             0.00022281,             0.00022281
                     67,                0.72626,                0.45187,                0.88085,                0.94775,                0.92333,                 0.9591,                0.71989,                 0.9137,                0.51588,                0.86182,             0.00021662,             0.00021662,             0.00021662
                     68,                0.73953,                0.46071,                0.88506,                0.95048,                 0.9159,                0.95865,                0.72801,                 0.8914,                0.50577,                0.86001,             0.00021044,             0.00021044,             0.00021044
                     69,                0.72972,                0.45282,                0.87998,                0.94451,                0.91031,                 0.9587,                 0.7323,                0.90429,                0.50482,                0.85953,             0.00020425,             0.00020425,             0.00020425
                     70,                0.71611,                0.44616,                0.87497,                0.94728,                0.91759,                0.95935,                0.73299,                0.87887,                0.50652,                0.85652,             0.00019806,             0.00019806,             0.00019806
                     71,                0.71786,                0.45059,                0.88035,                0.94293,                0.90836,                0.95697,                0.72626,                 0.8919,                 0.5023,                0.86135,             0.00019188,             0.00019188,             0.00019188
                     72,                0.71203,                0.44367,                0.87844,                0.95353,                0.91173,                0.95757,                 0.7303,                0.88952,                0.50841,                0.85918,             0.00018569,             0.00018569,             0.00018569
                     73,                 0.6974,                0.43989,                0.87655,                0.93962,                 0.9187,                0.95807,                0.73442,                0.88421,                0.50147,                0.85872,              0.0001795,              0.0001795,              0.0001795
                     74,                0.70111,                0.43354,                0.87378,                0.95594,                0.91315,                0.95794,                0.73509,                0.88447,                0.49312,                0.85673,             0.00017331,             0.00017331,             0.00017331
